 Diffraction intensities for potential:8x8MoS210001.in                         
#    -72    18       4.5760597993E-011
#    -72    19       1.7027796596E-010
#    -72    20       7.2686689047E-011
#    -72    21       4.4818954715E-011
#    -72    22       3.6255143551E-011
#    -72    23       7.0252023899E-011
#    -72    24       2.4909553294E-011
#    -72    25       1.7190489962E-011
#    -72    26       2.0648035348E-012
#    -72    27       1.2692735170E-011
#    -71    13       4.1166511520E-011
#    -71    14       2.5152659220E-011
#    -71    15       1.9965761216E-011
#    -71    16       3.6628141152E-011
#    -71    17       3.5384579769E-011
#    -71    18       3.3067219065E-011
#    -71    19       5.6197785398E-011
#    -71    20       4.2072468568E-011
#    -71    21       1.4939649217E-011
#    -71    22       2.3651602630E-011
#    -71    23       1.4402201665E-011
#    -71    24       4.7198799075E-012
#    -71    25       2.0766410860E-012
#    -71    26       1.8246725399E-012
#    -71    27       2.0349572237E-012
#    -71    28       2.9704431704E-012
#    -71    29       1.0006980319E-011
#    -71    30       9.8891029780E-012
#    -71    31       7.2491874466E-012
#    -70     9       3.9200801845E-012
#    -70    10       7.8769358870E-010
#    -70    11       8.2115861441E-012
#    -70    12       1.3157981223E-011
#    -70    13       1.0941755293E-011
#    -70    14       2.8573182420E-011
#    -70    15       4.2046237941E-011
#    -70    16       4.5291641834E-011
#    -70    17       3.3158499445E-011
#    -70    18       1.5550740249E-010
#    -70    19       3.6638833254E-011
#    -70    20       2.6339619024E-011
#    -70    21       3.8092750268E-011
#    -70    22       9.5127374310E-012
#    -70    23       7.1187677172E-012
#    -70    24       2.9117630662E-012
#    -70    25       2.7913636201E-012
#    -70    26       1.8467354071E-011
#    -70    27       4.1398237224E-012
#    -70    28       9.3857262997E-012
#    -70    29       7.6236023791E-012
#    -70    30       1.0193838015E-011
#    -70    31       7.0344119476E-012
#    -70    32       6.3854737028E-012
#    -70    33       1.3463315787E-011
#    -69     7       2.6398910421E-013
#    -69     8       5.3057161515E-012
#    -69     9       3.6646285943E-012
#    -69    10       1.0846223242E-011
#    -69    11       4.0927272817E-012
#    -69    12       1.5753646873E-011
#    -69    13       1.4899388230E-011
#    -69    14       3.0299763821E-011
#    -69    15       3.2911658035E-011
#    -69    16       3.6849558932E-011
#    -69    17       3.8972920292E-011
#    -69    18       3.3175320679E-011
#    -69    19       3.2008796605E-011
#    -69    20       2.7905249236E-011
#    -69    21       2.2772889278E-011
#    -69    22       1.0720936483E-011
#    -69    23       4.1995937464E-012
#    -69    24       2.2897508579E-012
#    -69    25       2.9066639789E-012
#    -69    26       5.3293190732E-012
#    -69    27       6.7266250010E-012
#    -69    28       8.1454100802E-012
#    -69    29       9.2046328564E-012
#    -69    30       1.0436762216E-011
#    -69    31       1.3009075337E-011
#    -69    32       9.7423429691E-012
#    -69    33       6.6696092972E-012
#    -69    34       8.2363911566E-012
#    -69    35       2.2529120897E-011
