 Diffraction intensities for potential:ga5x5_10D10006.in                       
#    -28    13       7.7203596525E-005
#    -28    14       1.8711695497E-004
#    -28    15       6.9479799027E-005
#    -27     7       2.4705614469E-005
#    -27     8       3.2164254203E-006
#    -27     9       8.9551699112E-006
#    -27    10       5.0365850880E-006
#    -27    11       1.6624368629E-004
#    -27    12       2.9714854465E-005
#    -27    13       8.5313888807E-005
#    -27    14       4.9826077798E-005
#    -27    15       2.4510966567E-005
#    -27    16       4.9444027227E-005
#    -27    17       2.9769164498E-005
#    -27    18       5.4688266885E-005
#    -27    19       3.5931058024E-005
#    -27    20       3.0901779457E-006
#    -26     4       6.4971936498E-006
#    -26     5       1.0778283118E-004
#    -26     6       9.9990606529E-006
#    -26     7       1.4093106368E-004
#    -26     8       5.6821762465E-005
#    -26     9       5.6291364259E-006
#    -26    10       1.2432256905E-004
#    -26    11       1.2201923819E-004
#    -26    12       9.2295661083E-005
#    -26    13       1.0956557416E-004
#    -26    14       9.8530913310E-005
#    -26    15       4.7795463945E-005
#    -26    16       8.5285590885E-005
#    -26    17       4.1094172866E-006
#    -26    18       1.3466518081E-005
#    -26    19       6.4212084989E-005
#    -26    20       8.1812710490E-006
#    -26    21       6.9332405388E-005
#    -26    22       3.0616600603E-005
#    -25     2       9.9661082646E-005
#    -25     3       9.3325246935E-005
#    -25     4       1.1524089140E-004
#    -25     5       8.2906695828E-004
#    -25     6       9.1767946952E-005
#    -25     7       4.8026549348E-005
#    -25     8       4.0787695050E-005
#    -25     9       4.8961827316E-005
#    -25    10       3.9200235202E-004
#    -25    11       1.3160619008E-004
#    -25    12       7.1051208035E-005
#    -25    13       1.4840669153E-004
#    -25    14       1.3195127567E-005
#    -25    15       3.6033431087E-005
#    -25    16       1.9035479229E-004
#    -25    17       4.2240757372E-005
#    -25    18       8.4236238698E-005
#    -25    19       1.2579569696E-004
#    -25    20       1.5221133092E-004
#    -25    21       5.3884516899E-005
#    -25    22       3.8434208461E-005
#    -25    23       2.3719629171E-006
#    -24     0       8.3358298111E-005
#    -24     1       2.0173599666E-004
#    -24     2       2.6557617571E-004
#    -24     3       1.0619402333E-004
#    -24     4       1.7364729421E-004
#    -24     5       1.6221346021E-004
#    -24     6       4.2010327112E-005
#    -24     7       6.2855690851E-005
#    -24     8       8.6941774079E-005
#    -24     9       1.4915479748E-005
#    -24    10       2.0327650532E-004
#    -24    11       9.7112824628E-006
#    -24    12       1.7576393062E-004
#    -24    13       5.9837201664E-005
#    -24    14       1.7963106189E-005
#    -24    15       1.2003576489E-004
#    -24    16       9.5282620236E-005
#    -24    17       1.2494617757E-004
#    -24    18       7.2980974632E-005
#    -24    19       1.9737858017E-004
#    -24    20       2.5174417299E-004
#    -24    21       2.9632315831E-005
#    -24    22       6.9174998490E-005
#    -24    23       1.2266209099E-005
#    -24    24       1.4047400689E-004
#    -23    -2       2.0689525649E-004
#    -23    -1       1.7811652533E-004
#    -23     0       3.8614452183E-005
#    -23     1       9.3488892381E-005
#    -23     2       1.2800074154E-005
#    -23     3       1.8809469118E-005
#    -23     4       3.5341805359E-005
#    -23     5       1.3353086558E-004
#    -23     6       7.3076815111E-005
#    -23     7       1.9696686749E-004
#    -23     8       5.8361145573E-004
#    -23     9       7.9126862054E-006
#    -23    10       2.4178602531E-004
#    -23    11       3.3253763492E-005
#    -23    12       2.0029452291E-006
#    -23    13       4.2378101473E-004
#    -23    14       1.2292866548E-004
#    -23    15       1.2157635890E-004
#    -23    16       1.0804036897E-004
#    -23    17       1.2102034660E-004
#    -23    18       1.2849325062E-004
#    -23    19       1.9786466238E-005
#    -23    20       1.4159150458E-004
#    -23    21       4.7816201940E-005
#    -23    22       5.4680200358E-006
#    -23    23       1.2315381847E-004
#    -23    24       1.5632035908E-005
#    -23    25       4.8476884750E-005
#    -22    -4       4.1811949736E-005
#    -22    -3       5.7992593046E-006
#    -22    -2       1.7074732705E-004
#    -22    -1       2.5630397751E-007
#    -22     0       8.5662852731E-005
#    -22     1       1.5854696908E-005
#    -22     2       1.5117951824E-004
#    -22     3       4.2933424330E-005
#    -22     4       3.2407662496E-005
#    -22     5       6.2096531609E-005
#    -22     6       1.9058035353E-004
#    -22     7       1.0488563108E-005
#    -22     8       6.6554068221E-005
#    -22     9       9.9997991630E-005
#    -22    10       2.5015883519E-004
#    -22    11       1.1125915286E-004
#    -22    12       2.9561147407E-004
#    -22    13       4.1646302183E-004
#    -22    14       1.0983734603E-005
#    -22    15       8.0661523308E-005
#    -22    16       2.0238952792E-004
#    -22    17       5.2596458768E-004
#    -22    18       4.3766205560E-004
#    -22    19       4.2788762519E-005
#    -22    20       1.1590338991E-006
#    -22    21       1.5008655004E-004
#    -22    22       1.4593731201E-004
#    -22    23       1.7132915503E-006
#    -22    24       4.9846470281E-006
#    -22    25       1.1014740309E-005
#    -22    26       3.2683768420E-005
#    -21    -5       5.6283863067E-005
#    -21    -4       3.8784517031E-005
#    -21    -3       5.9022918021E-006
#    -21    -2       3.4257703829E-005
#    -21    -1       1.2022368543E-004
#    -21     0       6.8219694167E-005
#    -21     1       1.0853582886E-005
#    -21     2       4.7141127324E-004
#    -21     3       2.9019339708E-004
#    -21     4       4.7416619652E-005
#    -21     5       4.1852870232E-004
#    -21     6       1.8602679424E-004
#    -21     7       2.8987856271E-004
#    -21     8       3.5827055663E-005
#    -21     9       4.4086156942E-004
#    -21    10       4.5887260435E-005
#    -21    11       3.6109127259E-004
#    -21    12       2.9808976711E-004
#    -21    13       2.3149617378E-005
#    -21    14       1.6434561173E-004
#    -21    15       2.8897771852E-006
#    -21    16       2.1311814654E-004
#    -21    17       1.2488618654E-004
#    -21    18       3.0894503461E-005
#    -21    19       1.1249422110E-004
#    -21    20       1.9923553559E-005
#    -21    21       4.1153835282E-004
#    -21    22       7.3142276194E-005
#    -21    23       4.5439411049E-005
#    -21    24       1.0371887104E-004
#    -21    25       2.7323006883E-005
#    -21    26       1.0234279730E-010
#    -20    -7       4.9110504963E-005
#    -20    -6       1.5638114667E-004
#    -20    -5       3.5425144718E-004
#    -20    -4       2.0395546167E-004
#    -20    -3       2.3166248840E-004
#    -20    -2       1.8765048163E-004
#    -20    -1       1.7313620617E-004
#    -20     0       6.5009069139E-003
#    -20     1       5.7040934445E-005
#    -20     2       3.2934866463E-004
#    -20     3       2.9098674819E-004
#    -20     4       7.4754892809E-005
#    -20     5       7.1380028328E-003
#    -20     6       3.3711490675E-005
#    -20     7       2.6190334049E-004
#    -20     8       3.1732586775E-005
#    -20     9       3.9984722293E-006
#    -20    10       2.5423657112E-003
#    -20    11       2.1399593404E-004
#    -20    12       1.0556301492E-005
#    -20    13       4.7850144844E-005
#    -20    14       6.5223929888E-005
#    -20    15       3.4647823094E-003
#    -20    16       3.1822515893E-004
#    -20    17       1.0329362582E-004
#    -20    18       6.4373166684E-005
#    -20    19       8.4701231839E-005
#    -20    20       1.4417379190E-003
#    -20    21       1.4048853437E-005
#    -20    22       9.5851712295E-005
#    -20    23       5.9092748200E-005
#    -20    24       7.7816196355E-006
#    -20    25       4.8026038901E-004
#    -20    26       2.8252544346E-005
#    -20    27       7.0265178224E-006
#    -19    -8       1.5215735642E-005
#    -19    -7       1.2901796339E-004
#    -19    -6       1.4229520581E-004
#    -19    -5       4.5283062760E-005
#    -19    -4       2.4900253765E-004
#    -19    -3       3.8871355142E-004
#    -19    -2       1.0113125153E-004
#    -19    -1       6.9235777839E-004
#    -19     0       6.6812141685E-004
#    -19     1       5.4493542426E-004
#    -19     2       3.2304916059E-005
#    -19     3       1.1290057196E-004
#    -19     4       1.1739648192E-005
#    -19     5       1.2356159950E-005
#    -19     6       3.6837836561E-004
#    -19     7       6.7291414955E-004
#    -19     8       7.7879982336E-005
#    -19     9       8.1945457195E-005
#    -19    10       4.2628652543E-004
#    -19    11       2.5389537048E-005
#    -19    12       2.8984304400E-004
#    -19    13       2.0061315576E-004
#    -19    14       7.2908332170E-005
#    -19    15       3.5770133625E-004
#    -19    16       2.7646962033E-004
#    -19    17       6.9192992303E-005
#    -19    18       1.8239878021E-004
#    -19    19       3.2729063301E-005
#    -19    20       1.7552435947E-004
#    -19    21       5.8497269050E-005
#    -19    22       2.1887931010E-004
#    -19    23       2.1961466884E-005
#    -19    24       1.8995083739E-005
#    -19    25       1.1976602471E-006
#    -19    26       8.3585669517E-005
#    -19    27       2.0022032464E-005
#    -18    -9       3.5404592094E-005
#    -18    -8       5.4878401651E-005
#    -18    -7       2.2256210866E-005
#    -18    -6       1.5776077307E-004
#    -18    -5       4.2201246846E-006
#    -18    -4       2.7791248703E-005
#    -18    -3       1.5368202436E-004
#    -18    -2       1.3955376446E-005
#    -18    -1       1.4688785016E-004
#    -18     0       1.9863089241E-005
#    -18     1       8.3744324042E-005
#    -18     2       3.7115734184E-004
#    -18     3       3.2586289842E-004
#    -18     4       1.0220000034E-004
#    -18     5       1.5994831773E-004
#    -18     6       2.0395471890E-004
