 Diffraction intensities for potential:pot10001.in                             
#    -17    -9       1.5463913205E-004
#    -17    -8       2.7188563239E-004
#    -17    -7       2.4238165858E-004
#    -17    -6       2.7462988025E-004
#    -17    -5       2.0956348052E-004
#    -17    -4       1.0461901000E-004
#    -17    -3       1.1302394263E-004
#    -17    -2       9.2474783422E-005
#    -17    -1       6.8507325466E-005
#    -17     0       5.3483492505E-005
#    -17     1       5.4276148817E-005
#    -17     2       4.8147289594E-005
#    -17     3       9.3855302883E-005
#    -17     4       1.1126333919E-004
#    -17     5       4.8322732500E-005
#    -17     6       7.0720336179E-005
#    -17     7       2.1598544703E-004
#    -17     8       2.9828015545E-004
#    -17     9       2.8566345763E-004
#    -17    10       5.4465920576E-005
#    -17    11       3.1635070808E-005
#    -17    12       2.9904234136E-005
#    -17    13       2.7932690728E-004
#    -17    14       3.4687947476E-004
#    -17    15       5.9318700436E-004
#    -17    16       9.5513413477E-005
#    -16   -10       1.7033218987E-004
#    -16    -9       2.2435581351E-004
#    -16    -8       2.2648007909E-004
#    -16    -7       3.0488748874E-004
#    -16    -6       2.8361249515E-004
#    -16    -5       1.1798332430E-004
#    -16    -4       7.8256162619E-005
#    -16    -3       4.5865308983E-005
#    -16    -2       2.3031363559E-005
#    -16    -1       5.4113125745E-005
#    -16     0       1.1482218287E-004
#    -16     1       4.9778233229E-005
#    -16     2       6.7712741242E-005
#    -16     3       2.0020507346E-004
#    -16     4       2.3467323155E-004
#    -16     5       1.9961476586E-004
#    -16     6       2.9158035921E-004
#    -16     7       3.6165155315E-004
#    -16     8       3.4378741038E-004
#    -16     9       1.9487635538E-004
#    -16    10       4.9426338161E-005
#    -16    11       2.8109434377E-005
#    -16    12       4.9016610242E-005
#    -16    13       6.3495085889E-005
#    -16    14       2.1489574527E-004
#    -16    15       1.1165189411E-004
#    -16    16       2.5049920048E-004
#    -15   -11       2.2533699345E-004
#    -15   -10       2.6187172532E-004
#    -15    -9       2.6985501723E-004
#    -15    -8       3.7931391088E-004
#    -15    -7       3.0262466191E-004
#    -15    -6       4.4247254865E-004
#    -15    -5       6.0458384438E-005
#    -15    -4       2.7502441251E-005
#    -15    -3       8.0107746450E-004
#    -15    -2       4.7851699861E-005
#    -15    -1       4.9671364247E-005
#    -15     0       2.5007109227E-003
#    -15     1       5.0779429203E-005
#    -15     2       1.6712815267E-004
#    -15     3       3.3299905044E-003
#    -15     4       1.3629252229E-004
#    -15     5       1.0986382638E-004
#    -15     6       5.4891171999E-003
#    -15     7       2.4278349801E-004
#    -15     8       2.6668595847E-004
#    -15     9       3.0959819708E-003
#    -15    10       5.9446031565E-005
#    -15    11       1.5029192957E-005
#    -15    12       9.0725698409E-004
#    -15    13       1.5586576000E-004
#    -15    14       3.3576397662E-004
#    -15    15       3.6455012123E-004
#    -15    16       2.0548549860E-004
#    -14   -12       1.0338459927E-004
#    -14   -11       3.4478990976E-004
#    -14   -10       3.4634376317E-004
#    -14    -9       3.6245570903E-004
#    -14    -8       3.7452409707E-004
#    -14    -7       2.0094585830E-004
#    -14    -6       6.8590999102E-005
#    -14    -5       4.1077099718E-005
#    -14    -4       3.4516841097E-005
#    -14    -3       9.3431075185E-005
#    -14    -2       6.7369786346E-005
#    -14    -1       5.0675392356E-005
#    -14     0       2.5507879323E-004
#    -14     1       3.9794548430E-004
#    -14     2       2.3190901856E-004
#    -14     3       3.4620765681E-005
#    -14     4       1.0993166306E-005
#    -14     5       5.3135999241E-005
#    -14     6       2.7988292654E-004
#    -14     7       5.2103493245E-004
#    -14     8       4.4946932730E-004
#    -14     9       1.5952220931E-004
#    -14    10       1.5783693443E-004
#    -14    11       9.6393782091E-005
#    -14    12       2.9374307850E-004
#    -14    13       2.1266474262E-004
#    -14    14       4.2289823074E-004
#    -14    15       4.1413640556E-004
#    -14    16       1.6118853256E-004
#    -13   -13       3.5133274840E-005
#    -13   -12       1.0306275287E-004
#    -13   -11       5.3013079639E-004
#    -13   -10       4.0630341797E-004
#    -13    -9       3.5255178903E-004
#    -13    -8       2.9561221151E-004
#    -13    -7       1.4468480730E-004
#    -13    -6       6.5814109239E-005
#    -13    -5       2.5748655812E-005
#    -13    -4       1.1093536796E-004
#    -13    -3       1.9952937410E-004
#    -13    -2       1.6665025823E-004
#    -13    -1       3.9752236575E-004
#    -13     0       5.8937552825E-004
#    -13     1       2.7422892904E-004
#    -13     2       3.4753687075E-005
#    -13     3       1.6579590079E-004
#    -13     4       2.9912603804E-004
#    -13     5       4.8537302861E-004
#    -13     6       8.3776894009E-004
#    -13     7       1.0220442912E-003
#    -13     8       6.0127383099E-004
#    -13     9       4.7591549114E-004
#    -13    10       1.8595537597E-004
#    -13    11       1.3751531956E-004
#    -13    12       8.0349205940E-005
#    -13    13       4.6611422244E-004
#    -13    14       8.7708242247E-004
#    -13    15       5.6363239284E-004
#    -12   -13       1.2091588087E-004
#    -12   -12       2.2577208026E-004
#    -12   -11       3.9034085508E-004
#    -12   -10       4.0090099497E-004
#    -12    -9       4.9932848290E-004
#    -12    -8       1.9420195578E-004
#    -12    -7       8.5957585541E-005
#    -12    -6       9.0062285022E-004
#    -12    -5       4.8345200029E-005
#    -12    -4       2.3408580816E-004
#    -12    -3       3.3319198248E-003
#    -12    -2       2.3131210859E-004
#    -12    -1       2.7387474798E-004
#    -12     0       1.4342305425E-002
#    -12     1       1.5444048305E-005
#    -12     2       1.4652674090E-004
#    -12     3       1.2587084414E-002
#    -12     4       3.3273415620E-004
#    -12     5       5.0010498989E-004
#    -12     6       8.0803084861E-003
#    -12     7       7.2416029121E-004
#    -12     8       5.2831621956E-004
#    -12     9       1.5506020307E-003
#    -12    10       3.7080239633E-004
#    -12    11       3.7314939295E-004
#    -12    12       1.7411927951E-003
#    -12    13       2.4404052551E-004
#    -12    14       1.7539736312E-004
#    -12    15       2.4196696843E-003
#    -11   -14       1.3519010482E-004
#    -11   -13       1.8374446852E-004
#    -11   -12       3.8554678131E-004
#    -11   -11       3.1142335183E-004
#    -11   -10       3.8143509974E-004
#    -11    -9       3.0121593991E-004
#    -11    -8       5.9695219070E-005
#    -11    -7       4.0383062891E-005
#    -11    -6       7.1181767578E-005
#    -11    -5       1.9951094429E-004
#    -11    -4       1.3582503686E-004
#    -11    -3       3.4374169214E-005
#    -11    -2       3.4517912318E-005
#    -11    -1       1.5545198599E-005
#    -11     0       3.5300168496E-004
#    -11     1       6.8722195823E-004
#    -11     2       4.3104682624E-004
#    -11     3       1.3600152936E-004
#    -11     4       1.6921340211E-004
#    -11     5       3.7512932476E-004
#    -11     6       2.2933582028E-004
#    -11     7       2.4486482238E-004
#    -11     8       4.7820768414E-004
#    -11     9       7.0416425478E-004
#    -11    10       2.9269455232E-004
#    -11    11       7.2385992807E-005
#    -11    12       2.1254363678E-004
#    -11    13       2.3395765984E-004
#    -11    14       5.3794473882E-004
#    -10   -14       9.9313542711E-005
#    -10   -13       3.3546578074E-004
#    -10   -12       1.8798854461E-004
#    -10   -11       2.9057145366E-004
#    -10   -10       3.4444287897E-004
#    -10    -9       5.0333003117E-005
#    -10    -8       6.0831806668E-005
#    -10    -7       2.1661598596E-004
#    -10    -6       2.9186914466E-004
#    -10    -5       1.0957496836E-004
#    -10    -4       1.1038833949E-005
#    -10    -3       1.6564424995E-004
#    -10    -2       1.4650201039E-004
#    -10    -1       6.8747561264E-004
#    -10     0       1.5124900517E-003
#    -10     1       1.2591375201E-003
#    -10     2       6.6321934085E-004
#    -10     3       7.6340006157E-004
#    -10     4       7.0506604068E-004
#    -10     5       2.5861509634E-004
#    -10     6       2.5330412247E-005
#    -10     7       7.1731479962E-005
#    -10     8       2.1854484093E-004
#    -10     9       1.8870964837E-004
#    -10    10       1.7088897555E-004
#    -10    11       1.7027832182E-004
#    -10    12       5.9046634131E-004
#    -10    13       2.4020390022E-004
#    -10    14       7.0585566222E-004
#     -9   -15       3.3946370028E-005
#     -9   -14       2.9219608208E-004
#     -9   -13       3.4441424330E-004
#     -9   -12       2.4466076692E-004
#     -9   -11       2.2718684666E-004
#     -9   -10       1.0430553972E-004
#     -9    -9       6.9216033781E-004
#     -9    -8       2.9873622192E-004
#     -9    -7       3.6207617036E-004
#     -9    -6       5.4868121825E-003
#     -9    -5       5.3305639276E-005
#     -9    -4       2.9930518988E-004
#     -9    -3       1.2587940853E-002
#     -9    -2       4.3115587946E-004
#     -9    -1       1.2592712154E-003
#     -9     0       2.7123014968E-002
#     -9     1       1.1879483287E-003
#     -9     2       8.1234428733E-004
#     -9     3       2.4237811518E-002
#     -9     4       3.6542417253E-004
#     -9     5       9.0106142445E-005
#     -9     6       1.2257690869E-002
#     -9     7       3.9138043114E-004
#     -9     8       2.0112274494E-004
#     -9     9       1.5033935737E-002
#     -9    10       3.5939115719E-004
#     -9    11       2.7621518736E-004
#     -9    12       7.3618493901E-004
#     -9    13       4.0624317444E-004
#     -8   -15       2.1771980040E-004
#     -8   -14       6.5472847806E-004
#     -8   -13       2.7856048716E-004
#     -8   -12       1.3513315592E-004
#     -8   -11       1.5086117570E-004
#     -8   -10       1.3344133669E-006
#     -8    -9       2.8578667499E-004
#     -8    -8       3.4401478167E-004
#     -8    -7       2.4248157723E-004
#     -8    -6       2.7982219336E-004
#     -8    -5       4.8593690953E-004
#     -8    -4       3.3276670591E-004
#     -8    -3       1.3616154739E-004
#     -8    -2       6.6368160938E-004
#     -8    -1       1.1880298335E-003
#     -8     0       7.1348523233E-004
#     -8     1       1.8496381840E-004
#     -8     2       6.4513247259E-005
#     -8     3       5.0828578757E-005
#     -8     4       2.6235946098E-004
#     -8     5       5.4884149064E-004
#     -8     6       9.5821346137E-004
#     -8     7       6.6299618711E-004
#     -8     8       3.2871714607E-004
#     -8     9       8.5701927588E-004
#     -8    10       5.3964414017E-004
#     -8    11       3.2204529430E-004
#     -8    12       4.3055990364E-005
#     -8    13       2.1326164867E-003
#     -7   -15       5.1008691274E-004
#     -7   -14       4.6867227719E-004
#     -7   -13       2.3281970025E-004
#     -7   -12       1.1563218566E-004
#     -7   -11       2.6946707960E-005
#     -7   -10       5.4410290182E-005
#     -7    -9       1.9492771545E-004
#     -7    -8       2.6650563481E-004
#     -7    -7       5.2096386990E-004
#     -7    -6       8.3838424415E-004
#     -7    -5       5.0053470608E-004
#     -7    -4       1.6956456818E-004
#     -7    -3       7.6416629381E-004
#     -7    -2       8.1267217008E-004
#     -7    -1       1.8499349917E-004
#     -7     0       6.6995099344E-005
#     -7     1       4.4843247480E-004
#     -7     2       1.0340835116E-003
#     -7     3       1.7103308340E-003
#     -7     4       1.4950982865E-003
#     -7     5       6.4305827660E-004
#     -7     6       8.8696549789E-004
#     -7     7       5.1221956985E-004
#     -7     8       1.1362124772E-003
#     -7     9       6.5649691561E-004
#     -7    10       2.7475645753E-005
#     -7    11       6.4211672099E-004
#     -7    12       8.4852837201E-004
#     -6   -16       2.1604659247E-004
#     -6   -15       5.3278609412E-004
#     -6   -14       3.2583566253E-004
#     -6   -13       4.0223363843E-004
#     -6   -12       3.5562822564E-005
#     -6   -11       3.1544257588E-005
#     -6   -10       4.9417870444E-005
#     -6    -9       3.0960044528E-003
#     -6    -8       4.4961218614E-004
#     -6    -7       1.0226721143E-003
#     -6    -6       8.0785104789E-003
#     -6    -5       3.7549096991E-004
#     -6    -4       7.0560030828E-004
#     -6    -3       2.4233483015E-002
#     -6    -2       6.4563560118E-005
#     -6    -1       4.4866627547E-004
#     -6     0       3.8834629385E-002
#     -6     1       2.2298234632E-003
#     -6     2       2.3430763447E-003
#     -6     3       1.5735839497E-002
#     -6     4       1.0672514245E-003
#     -6     5       8.1624792888E-004
#     -6     6       1.4899538003E-002
#     -6     7       3.7723164048E-004
#     -6     8       3.9881293684E-004
#     -6     9       2.2948304635E-002
#     -6    10       6.6244292589E-004
#     -6    11       5.2771116859E-004
#     -5   -16       2.5848842578E-004
#     -5   -15       6.4578876964E-004
#     -5   -14       4.9570677839E-004
#     -5   -13       3.4487292818E-004
#     -5   -12       3.0005999857E-005
#     -5   -11       2.8078363947E-005
#     -5   -10       5.9528739866E-005
#     -5    -9       1.5976694334E-004
#     -5    -8       6.0180486281E-004
#     -5    -7       7.2469910672E-004
#     -5    -6       2.2958448553E-004
#     -5    -5       2.5879357346E-004
#     -5    -4       3.6553158167E-004
#     -5    -3       5.0666641436E-005
#     -5    -2       1.0343310702E-003
#     -5    -1       2.2303478491E-003
#     -5     0       2.1860084601E-003
#     -5     1       1.2632634280E-003
#     -5     2       7.3768389038E-004
#     -5     3       3.1223687122E-004
#     -5     4       2.0712295148E-004
#     -5     5       1.4725569089E-004
#     -5     6       5.2361154723E-004
#     -5     7       8.0298920669E-004
#     -5     8       1.0085384850E-004
#     -5     9       4.0856796296E-004
#     -5    10       1.9268381119E-003
#     -5    11       1.2599662725E-003
#     -4   -16       1.7823734519E-004
#     -4   -15       3.0990292495E-004
#     -4   -14       6.5045462281E-004
#     -4   -13       2.7943432331E-004
#     -4   -12       4.9117666046E-005
#     -4   -11       1.5083393441E-005
#     -4   -10       1.5811677190E-004
#     -4    -9       4.7640858165E-004
#     -4    -8       5.2867610721E-004
#     -4    -7       2.4498778178E-004
#     -4    -6       2.5329831856E-005
#     -4    -5       9.0140875839E-005
#     -4    -4       2.6237762374E-004
#     -4    -3       1.7107970419E-003
#     -4    -2       2.3438585578E-003
#     -4    -1       1.2636461183E-003
#     -4     0       6.3990715071E-004
#     -4     1       4.3978781027E-005
