 Diffraction intensities for potential:ensembletest210005.in                   
#    -45    11       6.6146476778E-007
#    -45    12       3.7134222282E-005
#    -45    13       3.4057828591E-005
#    -45    14       8.9476475985E-006
#    -45    15       6.1208183600E-005
#    -45    16       8.4793789612E-006
#    -44     7       2.9484898773E-005
#    -44     8       5.0172744588E-006
#    -44     9       2.6355485798E-005
#    -44    10       1.4572663094E-005
#    -44    11       5.6317138954E-006
#    -44    12       7.4470715074E-005
#    -44    13       2.5122705777E-006
#    -44    14       5.3824697665E-005
#    -44    15       3.6471462586E-005
#    -44    16       6.1773575041E-006
#    -44    17       5.1558035334E-005
#    -44    18       9.2467957748E-006
#    -44    19       2.1479306678E-005
#    -44    20       2.2520472364E-005
#    -43     4       1.9446890112E-005
#    -43     5       4.3896127448E-006
#    -43     6       6.1859963693E-006
#    -43     7       3.2776621577E-005
#    -43     8       1.8672672880E-006
#    -43     9       4.0974917892E-005
#    -43    10       3.4491251647E-006
#    -43    11       4.1847722751E-005
#    -43    12       6.1486682477E-005
#    -43    13       4.6365274147E-006
#    -43    14       1.0311628990E-004
#    -43    15       6.3462703144E-006
#    -43    16       4.0724608909E-005
#    -43    17       7.0405947577E-005
#    -43    18       1.6485046403E-005
#    -43    19       1.0357378731E-004
#    -43    20       7.8682919421E-006
#    -43    21       1.9724891816E-005
#    -43    22       3.6812848707E-005
#    -42     2       6.1632097746E-006
#    -42     3       1.7747699205E-005
#    -42     4       2.1932430152E-005
#    -42     5       3.1709813458E-007
#    -42     6       4.6719601565E-006
#    -42     7       3.5115711464E-006
#    -42     8       4.9891775681E-005
#    -42     9       3.3975237997E-005
#    -42    10       8.5549973491E-006
#    -42    11       7.9533955205E-005
#    -42    12       6.3823806952E-006
#    -42    13       9.5756095403E-005
#    -42    14       5.2613129764E-005
#    -42    15       8.7027677064E-006
#    -42    16       9.8703960271E-005
#    -42    17       6.7359182508E-006
#    -42    18       6.1787069133E-005
#    -42    19       8.2391809015E-005
#    -42    20       1.0384147355E-005
#    -42    21       7.5933593978E-005
#    -42    22       1.2020632946E-005
#    -42    23       6.2194218559E-005
#    -41     0       1.9314847321E-005
#    -41     1       1.1834396970E-005
#    -41     2       1.6102655278E-006
#    -41     3       4.8985368383E-005
#    -41     4       4.8252496530E-006
#    -41     5       2.0409677374E-005
#    -41     6       1.7636056673E-005
#    -41     7       7.9542188979E-006
#    -41     8       5.7554555059E-005
#    -41     9       9.3304302109E-006
#    -41    10       4.9957496239E-005
#    -41    11       7.7429530835E-005
#    -41    12       6.4652587404E-006
#    -41    13       1.0048569682E-004
#    -41    14       1.0405200415E-005
#    -41    15       7.6197628554E-005
#    -41    16       1.0992427796E-004
#    -41    17       8.2663321483E-006
#    -41    18       1.5264804556E-004
#    -41    19       1.0911645214E-005
#    -41    20       9.2351129082E-005
#    -41    21       8.7855050826E-005
#    -41    22       2.0888357155E-005
#    -41    23       7.5863959880E-005
#    -41    24       3.3937153761E-006
