 Diffraction intensities for potential:g-5x5_00D10001.in                       
#    -28    13       1.4239567084E-028
#    -28    14       5.9054976673E-054
#    -28    15       2.2598567062E-022
#    -27     7       1.3651507559E-047
#    -27     8       1.9519879338E-054
#    -27     9       5.0931981367E-054
#    -27    10       2.9678323371E-026
#    -27    11       1.1147636813E-021
#    -27    12       1.0149301200E-047
#    -27    13       4.8765550300E-055
#    -27    14       2.2250214898E-054
#    -27    15       2.6166757594E-026
#    -27    16       4.7366700138E-023
#    -27    17       1.6984376332E-048
#    -27    18       1.0596590353E-051
#    -27    19       7.8532726568E-055
#    -27    20       3.8842780879E-027
#    -26     4       6.5143490179E-027
#    -26     5       1.5388013580E-026
#    -26     6       3.3159097421E-055
#    -26     7       6.3999093094E-040
#    -26     8       3.4158499983E-046
#    -26     9       3.4988693610E-027
#    -26    10       3.9161937339E-026
#    -26    11       1.2987678939E-056
#    -26    12       2.9482129070E-036
#    -26    13       2.0072117021E-046
#    -26    14       5.7943128913E-028
#    -26    15       2.4737111687E-026
#    -26    16       7.4089593578E-053
#    -26    17       1.6225731302E-032
#    -26    18       1.1444713221E-045
#    -26    19       6.2045083014E-029
#    -26    20       7.6973299784E-027
#    -26    21       6.2944535919E-054
#    -26    22       4.1438248967E-029
#    -25     2       1.5688574149E-026
#    -25     3       4.1585425874E-023
#    -25     4       8.3702061771E-027
#    -25     5       1.4177463580E-003
#    -25     6       6.3390240179E-027
#    -25     7       9.4922328197E-026
#    -25     8       2.6957661660E-024
#    -25     9       3.2745461468E-026
#    -25    10       1.1851254229E-003
#    -25    11       1.2247134157E-026
#    -25    12       1.8009826012E-025
#    -25    13       2.3073636371E-024
#    -25    14       4.0684059022E-026
#    -25    15       5.1205416034E-004
#    -25    16       6.6645843165E-027
#    -25    17       2.1319402418E-024
#    -25    18       1.3515800710E-024
#    -25    19       1.5432703736E-026
#    -25    20       5.2091358817E-004
#    -25    21       1.7853288413E-027
#    -25    22       4.5255308188E-024
#    -25    23       4.4000064286E-025
#    -24     0       6.2781063018E-027
#    -24     1       7.8769455560E-053
#    -24     2       9.0518732566E-055
#    -24     3       5.9705186990E-043
#    -24     4       3.6915811014E-055
#    -24     5       7.3154715538E-026
#    -24     6       3.0110950795E-050
#    -24     7       4.0765759352E-054
#    -24     8       2.0523940217E-043
#    -24     9       3.4236297655E-054
#    -24    10       1.6477480146E-025
#    -24    11       2.6938560002E-048
#    -24    12       9.2464089965E-054
#    -24    13       4.7709867518E-043
#    -24    14       4.4276752240E-054
#    -24    15       1.5345728778E-025
#    -24    16       7.8986609152E-046
#    -24    17       5.6119630817E-054
#    -24    18       1.8753177641E-043
#    -24    19       1.4730841268E-054
#    -24    20       4.0729171126E-026
#    -24    21       1.2997573042E-043
#    -24    22       1.6857024713E-054
#    -24    23       2.1374413106E-044
#    -24    24       2.7270417232E-055
#    -23    -2       7.1696952135E-038
#    -23    -1       2.3192251965E-051
#    -23     0       6.1464085433E-023
#    -23     1       1.9227792051E-055
