 Diffraction intensities for potential:ga5x5_08D10001.in                       
#    -28    13       3.8546277646E-005
#    -28    14       2.8518419335E-005
#    -28    15       2.8244787538E-005
#    -27     7       1.7340916599E-005
#    -27     8       3.3615363907E-005
#    -27     9       3.3049881802E-005
#    -27    10       1.2112178898E-005
#    -27    11       7.7632817350E-005
#    -27    12       5.0984412852E-008
#    -27    13       2.1458589737E-004
#    -27    14       3.9422278235E-005
#    -27    15       1.6862446341E-005
#    -27    16       3.9555694833E-006
#    -27    17       6.5182733351E-005
#    -27    18       2.3615628143E-005
#    -27    19       3.6406257719E-005
#    -27    20       5.5189609682E-005
#    -26     4       7.4622683081E-005
#    -26     5       1.2467938877E-006
#    -26     6       1.3372402928E-004
#    -26     7       2.5335741291E-005
#    -26     8       3.0508934091E-005
#    -26     9       1.0428317174E-005
#    -26    10       1.2330174942E-004
#    -26    11       2.1736180217E-006
#    -26    12       6.5520840713E-006
#    -26    13       7.6738109804E-007
#    -26    14       1.8015995996E-006
#    -26    15       2.1482043426E-004
#    -26    16       1.1528821524E-005
#    -26    17       7.7693805488E-006
#    -26    18       6.8862146906E-005
#    -26    19       1.6130005558E-004
#    -26    20       1.2592585263E-004
#    -26    21       1.9012273329E-005
#    -26    22       3.9231493093E-005
#    -25     2       2.3277485761E-005
#    -25     3       2.4391229590E-005
#    -25     4       6.6773448847E-005
#    -25     5       6.0319960380E-004
#    -25     6       8.7621243063E-005
#    -25     7       1.8661097122E-004
#    -25     8       9.6714206355E-005
#    -25     9       2.3634306749E-005
#    -25    10       3.3036047174E-004
#    -25    11       9.4297637683E-005
#    -25    12       9.6324644230E-005
#    -25    13       3.1959821633E-005
#    -25    14       5.7880809571E-006
#    -25    15       1.6766694871E-004
#    -25    16       2.5795554106E-004
#    -25    17       4.5828503377E-005
#    -25    18       5.1582088692E-005
#    -25    19       7.1739856253E-005
#    -25    20       2.9033028817E-004
#    -25    21       2.1144097002E-004
#    -25    22       3.4547250900E-005
#    -25    23       2.0929183278E-005
#    -24     0       1.7626861453E-005
#    -24     1       7.5057852261E-005
#    -24     2       4.8490712402E-005
#    -24     3       1.3155693968E-004
#    -24     4       1.0830070127E-004
#    -24     5       3.7215809447E-005
#    -24     6       6.1121627759E-005
#    -24     7       2.0492191976E-004
#    -24     8       9.4615956481E-006
#    -24     9       9.6579313770E-005
#    -24    10       4.1177910954E-005
#    -24    11       3.7454087454E-006
#    -24    12       9.7566680453E-005
#    -24    13       4.9237372813E-005
#    -24    14       3.5339124672E-005
#    -24    15       5.3172726474E-005
#    -24    16       8.5565081061E-005
#    -24    17       8.2382065757E-005
#    -24    18       6.8020223032E-005
#    -24    19       8.9892406109E-005
#    -24    20       2.1860820415E-004
#    -24    21       5.0474852813E-005
#    -24    22       1.1005919707E-004
#    -24    23       4.3437264938E-005
#    -24    24       6.7672867180E-005
#    -23    -2       8.7589532331E-005
#    -23    -1       1.1103467149E-004
#    -23     0       2.0939662487E-004
#    -23     1       2.3347397502E-005
#    -23     2       1.0268085175E-004
#    -23     3       2.2980575776E-004
#    -23     4       1.9171552514E-004
#    -23     5       3.3098047751E-005
#    -23     6       4.3775288771E-006
#    -23     7       3.9184373728E-004
#    -23     8       8.2987451687E-005
#    -23     9       6.3091444028E-005
#    -23    10       5.7884589945E-005
#    -23    11       9.5789196736E-005
#    -23    12       4.7400032047E-005
#    -23    13       4.0163141058E-005
#    -23    14       2.6626813429E-004
#    -23    15       4.8857266675E-005
#    -23    16       2.1609543755E-004
#    -23    17       1.0643041870E-004
#    -23    18       7.2561636123E-006
#    -23    19       4.1073263641E-004
#    -23    20       3.7866108190E-005
#    -23    21       1.6361041778E-004
#    -23    22       5.4851661519E-005
#    -23    23       6.9697504357E-005
#    -23    24       1.2933962996E-005
#    -23    25       4.2985169532E-005
#    -22    -4       2.7834587122E-005
#    -22    -3       5.8067334986E-005
#    -22    -2       1.5731089680E-005
#    -22    -1       2.6528544112E-005
#    -22     0       1.5485724732E-004
#    -22     1       2.0976584194E-005
#    -22     2       4.5994480006E-005
#    -22     3       6.1479690202E-005
#    -22     4       3.9474285032E-004
#    -22     5       3.3289830284E-005
#    -22     6       1.3755483510E-004
#    -22     7       7.5119287320E-005
#    -22     8       1.1580938517E-004
#    -22     9       1.0706166653E-004
#    -22    10       9.7938933228E-005
#    -22    11       6.8260474607E-006
#    -22    12       6.7646397389E-005
#    -22    13       1.3577824550E-004
#    -22    14       1.9212983633E-005
#    -22    15       7.6941305229E-005
#    -22    16       2.4019556228E-006
#    -22    17       2.8378558056E-004
#    -22    18       1.2973498724E-004
#    -22    19       3.5800832602E-005
#    -22    20       4.1412164996E-005
#    -22    21       9.5499063019E-006
#    -22    22       4.8344840210E-004
#    -22    23       8.6752133996E-005
#    -22    24       4.7960456490E-005
#    -22    25       1.8093656336E-005
#    -22    26       1.1537339718E-004
#    -21    -5       8.3474517160E-006
#    -21    -4       2.3982429477E-004
#    -21    -3       7.1295792311E-005
#    -21    -2       9.5982008327E-006
#    -21    -1       6.2996248718E-005
#    -21     0       1.9918206346E-004
#    -21     1       3.2367051053E-004
#    -21     2       7.1113962267E-005
#    -21     3       9.4705416579E-005
#    -21     4       2.5718295442E-004
#    -21     5       5.3801069401E-005
#    -21     6       1.7405587041E-005
#    -21     7       6.4116141124E-005
#    -21     8       2.7238368515E-005
#    -21     9       2.9275222532E-005
#    -21    10       1.1109748660E-004
#    -21    11       2.0783901650E-005
#    -21    12       1.0962582657E-004
#    -21    13       1.7088314928E-004
#    -21    14       6.1460307405E-005
#    -21    15       9.5015562594E-005
#    -21    16       8.5431346644E-005
#    -21    17       1.0436332603E-004
#    -21    18       1.8047869729E-004
#    -21    19       1.0594703028E-004
#    -21    20       1.1663655442E-005
#    -21    21       3.5570376802E-005
#    -21    22       5.3351793812E-005
#    -21    23       1.6160785179E-004
#    -21    24       2.7365194499E-004
#    -21    25       3.5661902733E-005
#    -21    26       2.2748901682E-005
#    -20    -7       8.7127326002E-007
#    -20    -6       7.5652987688E-005
#    -20    -5       5.3366955071E-004
#    -20    -4       1.1758045019E-004
#    -20    -3       1.4252736321E-004
#    -20    -2       7.2584902008E-005
#    -20    -1       2.5400978715E-005
#    -20     0       5.0357854320E-003
#    -20     1       3.4731178968E-004
#    -20     2       1.1617606018E-004
#    -20     3       2.0061998623E-005
#    -20     4       8.9138112273E-005
#    -20     5       9.1518692974E-003
#    -20     6       1.3111102536E-004
#    -20     7       3.6889105470E-005
#    -20     8       2.4950486722E-004
#    -20     9       1.3230084620E-005
#    -20    10       4.1716211078E-003
#    -20    11       2.8064680955E-005
#    -20    12       1.2554937590E-004
#    -20    13       1.9680140770E-004
#    -20    14       1.7445330746E-004
#    -20    15       6.7996114661E-003
#    -20    16       2.0241973024E-005
#    -20    17       1.8301658519E-004
#    -20    18       2.7598417824E-005
#    -20    19       2.6893825933E-005
#    -20    20       8.7801832061E-004
#    -20    21       2.6817873985E-005
#    -20    22       2.3098194836E-005
#    -20    23       5.6476418716E-005
#    -20    24       7.8563028348E-005
