 Diffraction intensities for potential:x6x6_03D10001.in                        
#    -54    14       7.1658172528E-006
#    -54    15       3.2612569847E-006
#    -54    16       2.0040655328E-005
#    -54    17       3.0392642800E-006
#    -54    18       8.0283163397E-005
#    -54    19       2.2632137220E-006
#    -54    20       2.8459994264E-005
#    -53     9       1.5921879766E-005
#    -53    10       2.0785790223E-006
#    -53    11       2.9668803779E-006
#    -53    12       1.5204787688E-005
#    -53    13       5.1376875699E-005
#    -53    14       9.3173635507E-006
#    -53    15       2.1139763692E-005
#    -53    16       9.3329506070E-006
#    -53    17       5.5604221244E-006
#    -53    18       2.0777277882E-005
#    -53    19       6.9222339048E-005
#    -53    20       1.0904970812E-005
#    -53    21       2.6794806859E-005
#    -53    22       2.3423458109E-006
#    -53    23       5.7431754474E-006
#    -53    24       1.4545200504E-005
#    -52     6       1.4014422272E-006
#    -52     7       1.5072853885E-005
#    -52     8       3.3575660122E-006
#    -52     9       1.6664266922E-005
#    -52    10       6.9657366394E-006
#    -52    11       3.4028634520E-006
#    -52    12       5.7898660438E-007
#    -52    13       5.2897123231E-005
#    -52    14       2.2021505435E-005
#    -52    15       2.9091563400E-005
#    -52    16       1.4762141746E-005
#    -52    17       7.9930111855E-006
#    -52    18       1.3961810840E-006
#    -52    19       7.2226382846E-005
#    -52    20       2.0847543838E-005
#    -52    21       4.4642545076E-005
#    -52    22       3.9924012933E-005
#    -52    23       5.3751869429E-006
#    -52    24       1.0252268884E-006
#    -52    25       3.6666834216E-006
#    -52    26       1.4031342103E-005
#    -51     3       6.5075843979E-006
#    -51     4       1.9940396383E-005
#    -51     5       4.5527643617E-006
#    -51     6       2.1048990977E-006
#    -51     7       2.3868821471E-006
#    -51     8       3.5850240703E-005
#    -51     9       8.2772648942E-006
#    -51    10       3.4108090936E-005
#    -51    11       6.3290774158E-006
#    -51    12       5.7039836759E-006
#    -51    13       1.0610077313E-005
#    -51    14       7.2744324687E-005
#    -51    15       1.0047582699E-005
#    -51    16       6.0437285334E-005
#    -51    17       1.0160073074E-005
#    -51    18       1.0735259920E-005
#    -51    19       1.0600322266E-005
#    -51    20       6.6613484627E-005
#    -51    21       8.0350929388E-006
#    -51    22       8.1464824121E-005
#    -51    23       7.1096908394E-006
#    -51    24       5.1843807955E-006
#    -51    25       9.0739936496E-006
#    -51    26       2.2539305740E-005
#    -51    27       7.0957301977E-006
#    -50     1       3.7557074956E-006
#    -50     2       9.6722501363E-006
#    -50     3       1.9528804849E-005
#    -50     4       8.9003332864E-006
#    -50     5       2.8610688143E-005
#    -50     6       4.7930585281E-006
#    -50     7       9.0676169246E-006
#    -50     8       1.3708652720E-005
#    -50     9       3.2907181580E-005
#    -50    10       1.8487203250E-005
#    -50    11       5.1991219463E-005
#    -50    12       1.5972287834E-006
#    -50    13       1.4283659791E-005
#    -50    14       3.9330637184E-005
#    -50    15       5.1356397753E-005
#    -50    16       4.9719737185E-005
#    -50    17       1.1141168257E-004
#    -50    18       6.5556356905E-007
#    -50    19       8.3063726435E-006
#    -50    20       4.2933723560E-005
#    -50    21       5.2840216254E-005
#    -50    22       6.6339427741E-005
#    -50    23       8.9394260179E-005
#    -50    24       5.0604286036E-007
#    -50    25       8.2257231921E-006
#    -50    26       2.3433913712E-005
#    -50    27       2.4505627617E-005
#    -50    28       2.9835278866E-005
#    -49    -1       6.3828126492E-006
#    -49     0       5.7869648230E-006
#    -49     1       5.3893688973E-006
#    -49     2       4.1327249891E-006
#    -49     3       1.8664998710E-005
#    -49     4       4.4620446184E-006
#    -49     5       2.5571956010E-005
#    -49     6       4.3864544530E-005
#    -49     7       2.8749225904E-006
#    -49     8       5.4268625943E-006
#    -49     9       3.7013848867E-005
#    -49    10       7.5749222631E-006
#    -49    11       6.5663084411E-005
#    -49    12       6.5493594797E-005
#    -49    13       1.1699865608E-005
#    -49    14       1.6816059139E-005
#    -49    15       6.4696283172E-005
#    -49    16       1.8948521326E-005
#    -49    17       8.8959391288E-005
#    -49    18       5.1473317124E-005
#    -49    19       1.6786344025E-005
#    -49    20       1.5508474890E-005
#    -49    21       5.0240637258E-005
#    -49    22       2.5743410784E-005
#    -49    23       9.8626791107E-005
#    -49    24       5.7094524302E-005
#    -49    25       1.6621127862E-005
#    -49    26       3.2946549964E-005
#    -49    27       4.8764755187E-005
#    -49    28       8.2358617492E-006
#    -49    29       3.6940975267E-005
#    -48    -3       1.8954065496E-006
#    -48    -2       9.2129837374E-006
#    -48    -1       1.2590728450E-006
#    -48     0       4.4888355311E-005
#    -48     1       2.0909483074E-006
#    -48     2       1.3462511587E-005
#    -48     3       2.8084561993E-006
#    -48     4       8.0814646422E-006
#    -48     5       2.7543011987E-006
#    -48     6       4.8999344501E-005
#    -48     7       1.1797466642E-005
#    -48     8       9.2214945047E-006
#    -48     9       1.1359585209E-005
#    -48    10       2.2050696657E-005
#    -48    11       9.1355797845E-006
#    -48    12       1.9331695957E-004
#    -48    13       1.2693229246E-005
#    -48    14       5.8467867284E-005
#    -48    15       1.7194894330E-005
#    -48    16       7.0105595599E-005
#    -48    17       1.6977175104E-005
#    -48    18       1.3102965766E-004
#    -48    19       1.0122661155E-005
#    -48    20       4.7349610684E-005
#    -48    21       1.2156775597E-005
#    -48    22       1.2026062894E-004
#    -48    23       2.0249779747E-005
#    -48    24       1.1770082971E-004
#    -48    25       3.9451048305E-005
#    -48    26       4.9903099690E-005
#    -48    27       2.0555245200E-005
#    -48    28       6.8434399946E-006
#    -48    29       5.3192272916E-006
#    -48    30       2.1853550658E-005
#    -47    -4       3.4544402308E-006
#    -47    -3       1.6317425477E-005
#    -47    -2       4.5195314713E-006
#    -47    -1       3.8832543725E-006
#    -47     0       1.9527773434E-005
#    -47     1       4.3292221227E-005
#    -47     2       5.8936084454E-006
#    -47     3       3.0418665436E-005
#    -47     4       7.1095433931E-007
#    -47     5       4.9072772867E-006
#    -47     6       3.6005607342E-005
#    -47     7       5.8010066591E-005
#    -47     8       1.2911447645E-005
#    -47     9       5.2280733425E-005
#    -47    10       9.3548550104E-006
#    -47    11       1.8236601332E-005
#    -47    12       5.3165483078E-005
#    -47    13       1.5171195192E-004
#    -47    14       1.9337234343E-005
#    -47    15       6.9246569942E-005
#    -47    16       2.0597100828E-005
#    -47    17       1.8373472069E-005
#    -47    18       9.0076803600E-005
#    -47    19       1.5068847737E-004
#    -47    20       2.1367273431E-005
#    -47    21       9.0352506069E-005
#    -47    22       2.2257078157E-005
#    -47    23       2.7850042536E-005
#    -47    24       6.5277295690E-005
#    -47    25       1.1162416848E-004
#    -47    26       1.0445632779E-005
#    -47    27       5.8382836557E-005
#    -47    28       1.6858325158E-005
#    -47    29       1.4733139975E-005
#    -47    30       2.3002731197E-005
#    -47    31       5.1188454839E-005
#    -46    -6       4.8760794265E-007
#    -46    -5       2.5554006283E-005
#    -46    -4       3.4540032386E-006
#    -46    -3       2.3907472383E-005
#    -46    -2       9.3049950443E-006
#    -46    -1       8.3874966871E-006
#    -46     0       3.4551755406E-007
#    -46     1       3.8446904868E-005
#    -46     2       1.1968347323E-005
#    -46     3       3.6741299341E-005
#    -46     4       1.7142515920E-005
#    -46     5       1.8899502306E-006
#    -46     6       1.1160851851E-006
#    -46     7       4.7497760520E-005
#    -46     8       3.0079586273E-005
#    -46     9       4.0745318845E-005
#    -46    10       2.7646363869E-005
#    -46    11       1.4990340041E-005
#    -46    12       2.1125716474E-006
#    -46    13       1.4146813730E-004
#    -46    14       4.8582185962E-005
#    -46    15       6.9399592878E-005
#    -46    16       6.3247899774E-005
#    -46    17       2.2653178312E-005
#    -46    18       9.5648582345E-008
#    -46    19       1.2965430649E-004
#    -46    20       6.2263079283E-005
#    -46    21       1.0588961479E-004
#    -46    22       4.3647149997E-005
#    -46    23       1.7106898472E-005
#    -46    24       3.3401457495E-006
#    -46    25       9.1145934553E-005
#    -46    26       8.0943165694E-005
#    -46    27       1.0738777642E-004
#    -46    28       9.7238003139E-005
#    -46    29       1.3312605285E-005
#    -46    30       4.3806442621E-006
#    -46    31       8.6158924984E-005
#    -45    -7       1.7747949094E-006
#    -45    -6       2.5097205604E-006
#    -45    -5       2.6316456722E-006
#    -45    -4       3.7290475096E-005
#    -45    -3       2.6302988531E-006
#    -45    -2       1.8305913942E-005
#    -45    -1       6.2171246182E-006
#    -45     0       5.3726178659E-006
#    -45     1       5.5539144301E-006
#    -45     2       5.3652285487E-005
#    -45     3       8.2609999551E-006
#    -45     4       5.7632887482E-005
#    -45     5       1.1590542186E-005
#    -45     6       7.0914896340E-006
#    -45     7       6.6013357851E-006
#    -45     8       6.8545881545E-005
#    -45     9       1.8451355092E-005
#    -45    10       6.3316349569E-005
#    -45    11       1.9360887485E-005
#    -45    12       8.5731247537E-006
#    -45    13       1.7875063555E-005
#    -45    14       1.3220261410E-004
#    -45    15       1.2836235477E-005
#    -45    16       1.3493958239E-004
#    -45    17       1.4173220847E-005
#    -45    18       2.0083115233E-005
#    -45    19       2.8665779853E-005
#    -45    20       1.1765119919E-004
#    -45    21       3.6243504251E-005
#    -45    22       1.2971010941E-004
#    -45    23       1.5426913013E-005
#    -45    24       1.5243211513E-005
#    -45    25       9.3532920029E-006
#    -45    26       1.1107560457E-004
#    -45    27       1.2127454316E-005
#    -45    28       1.6650090602E-004
#    -45    29       2.6800099119E-005
#    -45    30       2.1142001577E-005
#    -45    31       1.3945025168E-005
#    -45    32       7.2825396061E-005
#    -44    -9       2.1984551320E-005
#    -44    -8       6.3714340509E-006
#    -44    -7       2.9709644027E-005
#    -44    -6       2.0129647986E-006
#    -44    -5       4.1788447970E-006
#    -44    -4       8.0161271455E-006
#    -44    -3       2.9576357140E-005
#    -44    -2       1.1707441492E-005
#    -44    -1       4.6126295294E-005
#    -44     0       1.8769563505E-006
#    -44     1       1.1414133270E-005
#    -44     2       2.0877375091E-005
#    -44     3       2.7174558148E-005
#    -44     4       2.4278993458E-005
#    -44     5       6.7790060858E-005
#    -44     6       3.8563295522E-006
#    -44     7       1.5304231019E-005
#    -44     8       2.6772425782E-005
#    -44     9       4.7716286172E-005
#    -44    10       3.4131078028E-005
#    -44    11       8.8446060340E-005
#    -44    12       1.8083596266E-006
#    -44    13       1.0424331947E-005
#    -44    14       4.5655388728E-005
#    -44    15       7.2876675797E-005
#    -44    16       5.4202770595E-005
#    -44    17       1.3310215175E-004
#    -44    18       1.4387655041E-006
#    -44    19       9.8582534579E-006
#    -44    20       6.1424267669E-005
#    -44    21       5.7003841424E-005
#    -44    22       6.7757394936E-005
#    -44    23       9.3560180405E-005
#    -44    24       2.0409989050E-006
#    -44    25       2.4168917629E-005
#    -44    26       5.0135312294E-005
#    -44    27       1.0126104850E-004
#    -44    28       8.4090872336E-005
#    -44    29       1.3103676800E-004
#    -44    30       1.3958951537E-007
#    -44    31       2.0644177458E-005
#    -44    32       1.9289897258E-005
#    -43   -10       2.3338598196E-006
#    -43    -9       2.0351807326E-005
#    -43    -8       7.8812354246E-006
#    -43    -7       3.7231888763E-005
#    -43    -6       1.8378006711E-005
#    -43    -5       4.8545383821E-006
#    -43    -4       4.3683498494E-006
#    -43    -3       2.9430996955E-005
#    -43    -2       9.5864946939E-006
#    -43    -1       4.7174840233E-005
#    -43     0       2.5044069934E-005
#    -43     1       1.0537553458E-005
#    -43     2       1.7767411552E-005
#    -43     3       3.2707218981E-005
#    -43     4       7.3921577321E-006
#    -43     5       6.8329303011E-005
#    -43     6       5.7937386128E-005
#    -43     7       9.0343777023E-006
#    -43     8       1.3531823850E-005
#    -43     9       3.6110312910E-005
#    -43    10       1.0734916389E-005
#    -43    11       4.9703230433E-005
#    -43    12       5.5670782126E-005
#    -43    13       2.3057556456E-006
#    -43    14       8.5552031329E-006
#    -43    15       7.0527738116E-005
#    -43    16       2.3867434713E-005
#    -43    17       1.1663140527E-004
#    -43    18       5.3464316897E-005
#    -43    19       2.2702915250E-005
#    -43    20       1.4481057210E-005
#    -43    21       4.8505996939E-005
#    -43    22       2.0880321699E-005
#    -43    23       9.4720333869E-005
#    -43    24       6.3853206054E-005
#    -43    25       1.3851128835E-005
#    -43    26       3.9796750056E-005
#    -43    27       8.9519735481E-005
#    -43    28       2.4820980450E-005
#    -43    29       1.3789922923E-004
#    -43    30       1.0963042249E-004
#    -43    31       1.5338292604E-005
#    -43    32       4.7400419099E-006
#    -42   -11       6.0358396917E-006
#    -42   -10       1.1921501510E-005
#    -42    -9       4.2726058089E-006
#    -42    -8       2.0301837064E-005
#    -42    -7       8.1345968900E-006
#    -42    -6       5.2033152642E-005
#    -42    -5       4.6975016929E-006
#    -42    -4       2.1702780796E-005
#    -42    -3       6.5734057170E-006
#    -42    -2       2.7457279323E-005
#    -42    -1       6.3666531519E-006
#    -42     0       1.4929610270E-004
#    -42     1       1.1422760460E-005
#    -42     2       4.2629689437E-005
#    -42     3       1.1999059658E-005
#    -42     4       2.2487860084E-005
#    -42     5       7.6526071683E-006
#    -42     6       1.6501512577E-005
#    -42     7       2.1507631808E-005
#    -42     8       2.9345518332E-005
#    -42     9       1.9263230068E-005
#    -42    10       9.5703508873E-006
#    -42    11       2.0649652677E-006
#    -42    12       2.6640887937E-004
#    -42    13       1.7918343911E-005
#    -42    14       1.3936864972E-005
#    -42    15       2.5345324562E-005
#    -42    16       7.9422865506E-005
#    -42    17       2.0903964029E-005
#    -42    18       2.8098583190E-004
#    -42    19       1.2736401315E-005
#    -42    20       4.6271468869E-005
#    -42    21       6.2758563977E-006
#    -42    22       3.8633872992E-005
#    -42    23       9.9191320322E-006
#    -42    24       2.1886316318E-004
#    -42    25       4.8974618648E-005
#    -42    26       6.3983689141E-005
#    -42    27       1.8289856077E-005
#    -42    28       6.1975782899E-005
#    -42    29       1.8369701132E-005
#    -42    30       1.5028457542E-004
#    -42    31       2.9272573758E-005
#    -42    32       2.8662429061E-005
#    -42    33       1.1150022762E-005
#    -41   -12       1.2519539941E-005
#    -41   -11       3.7606998337E-005
#    -41   -10       4.7275311540E-006
#    -41    -9       2.8244755946E-005
#    -41    -8       1.2650811503E-005
#    -41    -7       5.3635772744E-006
#    -41    -6       3.5572503744E-005
#    -41    -5       3.9080810821E-005
#    -41    -4       9.0959478187E-006
#    -41    -3       3.8988252831E-005
#    -41    -2       9.7428282028E-006
#    -41    -1       1.2620104924E-005
#    -41     0       5.7755433918E-005
#    -41     1       1.0936413520E-004
#    -41     2       1.7505135650E-005
#    -41     3       8.1984679151E-005
#    -41     4       2.6525323319E-006
#    -41     5       1.0886039242E-005
#    -41     6       3.8713533963E-005
#    -41     7       6.6327807503E-005
#    -41     8       1.4293081749E-005
#    -41     9       3.4381340638E-005
#    -41    10       4.8720341479E-006
#    -41    11       4.9171346019E-006
#    -41    12       1.3002679718E-005
#    -41    13       7.0521778707E-005
#    -41    14       5.5703879224E-006
#    -41    15       5.5567982254E-005
#    -41    16       3.1414160256E-005
#    -41    17       1.6975043896E-005
#    -41    18       7.2888399778E-005
#    -41    19       8.8240984637E-005
#    -41    20       1.5177617409E-005
#    -41    21       3.7998535009E-005
#    -41    22       1.3898307679E-007
#    -41    23       1.9871344468E-005
#    -41    24       3.4565832797E-005
#    -41    25       1.7105943376E-004
#    -41    26       1.4631220331E-005
#    -41    27       7.2876380888E-005
#    -41    28       4.5217106218E-005
#    -41    29       1.3698567487E-005
#    -41    30       8.1293163569E-005
#    -41    31       1.0529561316E-004
#    -41    32       1.8831549850E-005
#    -41    33       2.6520776771E-005
#    -40   -14       1.3372692408E-005
#    -40   -13       1.2065018583E-005
#    -40   -12       7.8089419248E-008
#    -40   -11       4.8369629580E-005
#    -40   -10       1.9432746076E-005
#    -40    -9       3.4990444079E-005
#    -40    -8       1.9507784924E-005
#    -40    -7       1.0432638316E-005
#    -40    -6       6.6460261005E-007
#    -40    -5       5.4921686909E-005
#    -40    -4       1.8523250205E-005
#    -40    -3       5.3746739578E-005
#    -40    -2       3.7047499726E-005
#    -40    -1       1.5312780105E-005
#    -40     0       7.3405912855E-007
#    -40     1       9.9544162125E-005
#    -40     2       4.4140041846E-005
#    -40     3       7.2319760040E-005
#    -40     4       4.0024522928E-005
#    -40     5       4.9802644661E-006
