 Diffraction intensities for potential:x6x6_03D10001.in                        
#    -40     6       1.8843032072E-007
#    -40     7       4.1886895331E-005
#    -40     8       1.9558573542E-005
#    -40     9       8.3928760627E-006
#    -40    10       1.2695101022E-005
#    -40    11       1.1134716555E-006
#    -40    12       8.1996556129E-007
#    -40    13       3.4682492455E-005
#    -40    14       3.8153072148E-005
#    -40    15       4.3882884478E-005
#    -40    16       4.2456394871E-005
#    -40    17       1.9627115885E-005
#    -40    18       8.9722539923E-007
#    -40    19       7.3689796721E-005
#    -40    20       4.1757596918E-005
#    -40    21       4.7025167501E-005
#    -40    22       4.0800968222E-005
#    -40    23       5.0890362327E-006
#    -40    24       1.2062508285E-008
#    -40    25       1.0143123389E-004
#    -40    26       6.6980896935E-005
#    -40    27       1.1093308379E-004
#    -40    28       3.7295478531E-005
#    -40    29       1.5411812599E-005
#    -40    30       1.0298531162E-005
#    -40    31       1.1847148326E-004
#    -40    32       2.1347166423E-005
#    -40    33       1.1141632028E-005
#    -39   -15       1.4591531582E-005
#    -39   -14       3.2797018947E-005
#    -39   -13       1.1083194108E-005
#    -39   -12       7.7733881981E-006
#    -39   -11       8.6503958011E-006
#    -39   -10       4.5205519150E-005
#    -39    -9       1.3925365762E-005
#    -39    -8       4.7644482267E-005
#    -39    -7       7.6923400439E-006
#    -39    -6       9.5326014674E-006
#    -39    -5       8.7316915252E-006
#    -39    -4       7.2479884355E-005
#    -39    -3       1.0940735177E-005
#    -39    -2       9.9560393285E-005
#    -39    -1       1.8957877180E-005
#    -39     0       1.0905168634E-005
#    -39     1       1.7501564074E-005
#    -39     2       8.9267257082E-005
#    -39     3       1.4767201535E-005
#    -39     4       7.5991848764E-005
#    -39     5       1.3784196497E-005
#    -39     6       2.9926285804E-006
#    -39     7       4.8488493724E-006
#    -39     8       1.5325102698E-005
#    -39     9       2.2160105756E-006
#    -39    10       3.6466353710E-006
#    -39    11       8.8010757986E-006
#    -39    12       1.1675129622E-006
#    -39    13       7.0545452820E-006
#    -39    14       3.9317189410E-005
#    -39    15       8.7758745069E-006
#    -39    16       5.4155943987E-005
#    -39    17       5.3563020467E-006
#    -39    18       1.0305177704E-005
#    -39    19       9.0995363590E-006
#    -39    20       2.9029924632E-005
#    -39    21       1.4180942846E-005
#    -39    22       2.9835381064E-005
#    -39    23       2.4281837243E-005
#    -39    24       1.1285167433E-005
#    -39    25       2.6109120161E-005
#    -39    26       1.6931815694E-004
#    -39    27       1.2607873387E-005
#    -39    28       1.7701097096E-004
#    -39    29       2.4374436612E-005
#    -39    30       1.3474508966E-005
#    -39    31       7.4281579329E-006
#    -39    32       8.7588211950E-005
#    -39    33       2.1412341698E-005
#    -38   -16       1.7279826796E-005
#    -38   -15       2.5469560825E-005
#    -38   -14       1.4776438221E-005
#    -38   -13       5.6741729609E-005
#    -38   -12       2.0607254583E-007
#    -38   -11       7.9949034584E-006
#    -38   -10       2.5670653164E-005
#    -38    -9       4.4085135476E-005
#    -38    -8       2.1021258697E-005
#    -38    -7       5.6904861120E-005
#    -38    -6       8.7705030064E-008
#    -38    -5       1.5282090151E-005
#    -38    -4       3.7640246339E-005
#    -38    -3       5.7097954815E-005
#    -38    -2       5.4486093527E-005
#    -38    -1       1.2627053620E-004
#    -38     0       2.2177588326E-006
#    -38     1       2.5657156936E-005
#    -38     2       2.7692864709E-005
#    -38     3       3.3769028950E-005
#    -38     4       2.4489040532E-005
#    -38     5       4.2409911608E-005
#    -38     6       3.3754180616E-006
#    -38     7       5.4489427540E-006
#    -38     8       3.8280033062E-006
#    -38     9       4.2988856720E-006
#    -38    10       2.9653628668E-006
#    -38    11       1.3909266818E-005
#    -38    12       7.5515474011E-006
#    -38    13       2.4667005872E-006
#    -38    14       1.3224564333E-005
#    -38    15       1.6746024947E-005
#    -38    16       1.0945984463E-005
#    -38    17       1.4709676340E-005
#    -38    18       1.8961607893E-006
#    -38    19       1.1815882109E-006
#    -38    20       3.6057985300E-006
#    -38    21       1.0748191652E-005
#    -38    22       3.2057847745E-006
#    -38    23       5.5358663308E-005
#    -38    24       5.0211580630E-006
#    -38    25       2.0101207952E-005
#    -38    26       8.3982487746E-005
#    -38    27       1.3019223008E-004
#    -38    28       7.8488134553E-005
#    -38    29       1.8973921946E-004
#    -38    30       8.9822875347E-007
#    -38    31       1.2686695570E-005
#    -38    32       1.9161251767E-005
#    -38    33       8.8433240030E-006
#    -37   -17       4.7609548337E-006
#    -37   -16       7.9132998859E-006
#    -37   -15       1.9467238185E-005
#    -37   -14       1.0080988572E-005
#    -37   -13       5.9448966364E-005
#    -37   -12       5.4797766589E-005
#    -37   -11       2.9427654012E-006
#    -37   -10       1.3457804995E-005
#    -37    -9       3.9341714923E-005
#    -37    -8       6.1573283481E-006
#    -37    -7       5.5707576159E-005
#    -37    -6       3.0212116625E-005
#    -37    -5       1.1813928071E-005
#    -37    -4       1.8011291428E-005
#    -37    -3       7.4753520210E-005
#    -37    -2       4.7540812183E-006
#    -37    -1       1.0787949477E-004
#    -37     0       4.6481682963E-005
#    -37     1       1.9756730169E-005
#    -37     2       1.8700996850E-005
#    -37     3       2.5001920403E-005
#    -37     4       3.9867147753E-006
#    -37     5       3.0885798369E-005
#    -37     6       1.7486169921E-005
#    -37     7       1.1206313432E-006
#    -37     8       3.8243822887E-006
#    -37     9       2.7645012872E-006
#    -37    10       4.1400223470E-006
#    -37    11       3.0503979850E-006
#    -37    12       1.1835254325E-005
#    -37    13       4.7434800754E-006
#    -37    14       3.5428244379E-006
#    -37    15       1.1005112687E-005
#    -37    16       1.5477464035E-006
#    -37    17       1.3607993410E-005
#    -37    18       4.6211090181E-006
#    -37    19       3.0381821678E-006
#    -37    20       5.5921708646E-006
#    -37    21       6.3771745953E-006
#    -37    22       4.1584833607E-006
#    -37    23       2.9375886764E-005
#    -37    24       4.2370160174E-005
#    -37    25       7.1203170452E-006
#    -37    26       1.9783231324E-005
#    -37    27       6.8240092651E-005
#    -37    28       3.7785053582E-005
#    -37    29       1.9004978578E-004
#    -37    30       4.7432704121E-005
#    -37    31       1.4524638804E-005
#    -37    32       3.1743173858E-005
#    -37    33       6.9595262468E-005
#    -36   -18       7.8494884864E-005
#    -36   -17       6.7664424868E-006
#    -36   -16       1.6498833471E-005
#    -36   -15       7.0203082034E-006
#    -36   -14       3.1926942073E-005
#    -36   -13       8.5705470576E-006
#    -36   -12       1.8907297111E-004
#    -36   -11       1.7933602168E-005
#    -36   -10       2.9788024196E-005
#    -36    -9       1.3142903350E-005
#    -36    -8       3.2398350761E-005
#    -36    -7       4.0589189500E-006
#    -36    -6       1.4987386971E-005
#    -36    -5       5.2305693558E-006
#    -36    -4       4.3340087809E-005
#    -36    -3       2.8537230254E-005
#    -36    -2       2.3878057546E-005
#    -36    -1       1.0887952036E-005
#    -36     0       5.9264335006E-004
#    -36     1       9.7474543758E-006
#    -36     2       3.9791082631E-005
#    -36     3       1.1561522543E-005
#    -36     4       3.4738072076E-006
#    -36     5       4.8916259899E-006
#    -36     6       8.2714631543E-004
#    -36     7       8.1534880888E-006
#    -36     8       1.9974740109E-006
#    -36     9       5.5258978363E-006
#    -36    10       7.1036313508E-006
#    -36    11       1.6251787765E-006
#    -36    12       9.1846426274E-004
#    -36    13       1.8937476679E-005
#    -36    14       1.2181170991E-005
#    -36    15       5.2421308380E-006
#    -36    16       5.8753867518E-006
#    -36    17       4.6814218780E-006
#    -36    18       6.5768974504E-004
#    -36    19       4.5636541707E-006
#    -36    20       2.5311086861E-006
#    -36    21       1.5463070317E-005
#    -36    22       8.2616459480E-006
#    -36    23       1.9802540556E-006
#    -36    24       1.8778032219E-005
#    -36    25       2.4415077135E-005
#    -36    26       3.8375872503E-005
#    -36    27       4.0544649131E-005
#    -36    28       1.3699817958E-004
#    -36    29       1.5213581538E-005
#    -36    30       1.6416723506E-004
#    -36    31       2.3625374838E-005
#    -36    32       4.4440897994E-005
#    -36    33       1.5751417330E-006
#    -35   -19       3.8253791689E-006
#    -35   -18       2.0963560155E-005
#    -35   -17       6.0524395958E-005
#    -35   -16       9.5178641380E-006
#    -35   -15       4.7595023700E-005
#    -35   -14       1.6505872738E-005
#    -35   -13       1.1227363113E-005
#    -35   -12       6.2380157543E-005
#    -35   -11       1.0153322447E-004
#    -35   -10       7.3951205929E-006
#    -35    -9       4.4588419416E-005
#    -35    -8       1.4432072646E-005
#    -35    -7       1.3643921285E-005
#    -35    -6       4.9061053168E-005
#    -35    -5       7.7272462938E-005
#    -35    -4       1.1684421106E-005
#    -35    -3       6.3319297869E-005
#    -35    -2       7.9853936373E-006
#    -35    -1       9.9829826568E-006
#    -35     0       3.5497734075E-005
#    -35     1       6.4311166929E-005
#    -35     2       2.2270309068E-005
#    -35     3       5.8302351091E-005
#    -35     4       1.4942891736E-006
#    -35     5       8.9477587561E-007
#    -35     6       1.1793631719E-005
#    -35     7       3.3968659888E-005
#    -35     8       1.1398925080E-006
#    -35     9       4.8066293829E-006
#    -35    10       1.7290010891E-005
#    -35    11       5.3668122539E-006
#    -35    12       1.4576560355E-005
#    -35    13       2.6043137417E-005
#    -35    14       3.0689441298E-005
#    -35    15       5.1690691850E-005
#    -35    16       1.6887101908E-005
#    -35    17       7.7670710268E-006
#    -35    18       6.0612029561E-005
#    -35    19       5.0801636370E-005
#    -35    20       5.5214898108E-006
#    -35    21       1.2975589632E-005
#    -35    22       1.4369017417E-005
#    -35    23       3.1792688584E-006
#    -35    24       1.7289032848E-005
#    -35    25       7.6721179159E-005
#    -35    26       4.6439723660E-006
#    -35    27       3.2140621020E-005
#    -35    28       8.4519414197E-006
#    -35    29       2.9955111449E-005
#    -35    30       8.0581057549E-005
#    -35    31       2.0105650128E-004
#    -35    32       2.5246072958E-005
#    -35    33       2.0240997114E-004
#    -34   -20       1.9963447762E-005
#    -34   -19       6.6912097415E-006
#    -34   -18       2.8670789326E-007
#    -34   -17       6.7710219691E-005
#    -34   -16       2.6456483347E-005
#    -34   -15       5.6082509360E-005
#    -34   -14       4.7443078132E-005
#    -34   -13       2.1730057623E-005
#    -34   -12       2.5221248790E-007
#    -34   -11       9.4903081636E-005
#    -34   -10       2.8187136871E-005
#    -34    -9       3.3127107681E-005
#    -34    -8       2.0331531954E-005
#    -34    -7       1.8626412953E-005
#    -34    -6       2.1829934627E-007
#    -34    -5       7.9274978481E-005
#    -34    -4       1.0829259532E-005
#    -34    -3       4.4731928013E-005
#    -34    -2       2.6313814707E-005
#    -34    -1       1.1905176517E-005
#    -34     0       1.9191786576E-006
#    -34     1       7.9921005227E-005
#    -34     2       1.7936097916E-005
#    -34     3       6.6735841813E-005
#    -34     4       3.8565056643E-005
#    -34     5       6.2536537899E-010
#    -34     6       1.4219883852E-006
#    -34     7       4.5869727880E-005
#    -34     8       2.3876906328E-005
#    -34     9       1.5701404025E-005
#    -34    10       6.3442313803E-006
#    -34    11       2.7648122477E-005
#    -34    12       5.2923260360E-007
#    -34    13       9.1242605140E-005
#    -34    14       5.5021590602E-005
#    -34    15       1.0015902518E-004
#    -34    16       7.7340157935E-005
#    -34    17       2.1908057884E-005
#    -34    18       5.1969126086E-007
#    -34    19       1.1345108648E-004
#    -34    20       1.0352848785E-005
#    -34    21       1.4323330793E-005
#    -34    22       1.3999079040E-005
#    -34    23       1.7185403278E-005
#    -34    24       5.5392522013E-006
#    -34    25       1.1607396236E-004
#    -34    26       5.3210444662E-005
#    -34    27       7.8541467155E-005
#    -34    28       4.9859517425E-005
#    -34    29       1.3738572804E-005
#    -34    30       9.6819260275E-006
#    -34    31       5.7115676038E-005
#    -34    32       3.8656575680E-005
#    -34    33       2.7991381416E-005
